,precision,recall,f1-score,support
Normal,83.72143981195593,94.8457563243292,88.93708868527413,44313.0
ddos,99.61073825503355,99.4172416102887,99.51389587314358,14929.0
probe,92.21808613054361,94.86976329602852,93.52513302849333,30291.0
New Attack,89.23229485166515,75.27711291334556,81.66280125037814,43033.0
accuracy,89.0137742709292,89.0137742709292,89.0137742709292,0.890137742709292
macro avg,91.19563976229956,91.102468535998,90.90972970932229,132566.0
weighted avg,89.24119506606975,89.0137742709292,88.81521123949072,132566.0
