,precision,recall,f1-score,support
Normal,99.71876850207224,98.45816587504567,99.08445784461522,13685.0
DDoS,100.0,99.56480348157216,99.78192721820908,14706.0
Probe,98.82998466876462,99.1580310880829,98.9937361083047,12352.0
New Attack,77.07199032062915,87.43994509265615,81.92926045016077,1457.0
